id;nombre;nivel;regimen;carga_horaria;carrera;es_electiva
14;Ingeniería Ambiental y Seguridad Industrial;2;Anual;3;Ingeniería Mecánica;no
15;Ingeniería Mecánica II;2;Anual;2;Ingeniería Mecánica;no
16;Inglés I;2;Anual;2;Ciencias Básicas;no
17;Termodinámica;3;Anual;4;Ingeniería Mecánica;no
18;Mecánica Racional;3;Anual;4;Ingeniería Mecánica;no
19;Estabilidad II;3;Anual;4;Ingeniería Mecánica;no
20;Mediciones y Ensayos;3;Anual;4;Ingeniería Mecánica;no
21;Diseño Mecánico;3;Anual;3;Ingeniería Mecánica;no
22;Cálculo Avanzado;3;Anual;3;Ingeniería Mecánica;no
23;Ingeniería Mecánica III;3;Anual;2;Ingeniería Mecánica;no
24;Probabilidad y Estadística;3;Anual;3;Ciencias Básicas;no
25;Inglés II;3;Anual;2;Ciencias Básicas;no
26;Economía;4;Anual;3;Ciencias Básicas;no
27;Elementos de Máquinas;4;Anual;4;Ingeniería Mecánica;no
28;Tecnología del Calor;4;Anual;3;Ingeniería Mecánica;no
29;Metrología e Ingeniería de Calidad;4;Anual;3;Ingeniería Mecánica;no
30;Mecánica de los Fluidos;4;Anual;3;Ingeniería Mecánica;no
31;Electrotecnia y Máquinas Eléctricas;4;Anual;4;Ingeniería Mecánica;no
32;Electrónica y Sistemas de Control;4;Anual;5;Ingeniería Mecánica;no
33;Estabilidad III;4;Anual;3;Ingeniería Mecánica;no
34;Tecnología de Fabricación;5;Anual;4;Ingeniería Mecánica;no
35;Máquinas Alternativas y Turbomáquinas;5;Anual;4;Ingeniería Mecánica;no
36;Instalaciones Industriales;5;Anual;4;Ingeniería Mecánica;no
37;Organización Industrial;5;Anual;3;Ingeniería Mecánica;no
38;Legislación;5;Anual;2;Ciencias Básicas;no
39;Mantenimiento;5;Anual;2;Ingeniería Mecánica;no
40;Proyecto Final;5;Anual;4;Ingeniería Mecánica;no
41;Introducción a la Programación Computacional en Ingeniería;2;Cuatrimestral;2;Ingeniería Mecánica;si
42;Tecnología Mecánica;2;Cuatrimestral;2;Ingeniería Mecánica;si
43;Sistemas de Representación Avanzada;2;Cuatrimestral;2;Ingeniería Mecánica;si
44;Fundamentos de Optimización de Ingeniería;5;Cuatrimestral;2;Ingeniería Mecánica;si
45;Automotores I;5;Cuatrimestral;2;Ingeniería Mecánica;si
46;Diseño de Instalaciones Térmicas;5;Cuatrimestral;2;Ingeniería Mecánica;si
47;Introducción al Método de Elementos Finitos;5;Cuatrimestral;2;Ingeniería Mecánica;si
48;Gestión de Proyectos;5;Cuatrimestral;2;Ingeniería Mecánica;si
49;Gestión Ambiental;5;Cuatrimestral;2;Ingeniería Mecánica;si
50;Gestión Emprendedora;5;Cuatrimestral;2;Ingeniería Mecánica;si
51;Logística;5;Cuatrimestral;2;Ingeniería Mecánica;si
52;Análisis Estructural Estático Mediante el Método de Elementos Finitos;5;Cuatrimestral;2;Ingeniería Mecánica;si
53;Introducción a la Programación y Operación de Máquinas CNC;5;Cuatrimestral;2;Ingeniería Mecánica;si
54;Sistemas Neumáticos e Hidráulicos;5;Cuatrimestral;2;Ingeniería Mecánica;si
55;Automotores II;5;Cuatrimestral;2;Ingeniería Mecánica;si
56;Innovación Abierta Como Herramienta de Desarrollo Profesional;5;Cuatrimestral;2;Ingeniería Mecánica;si
57;Introducción a la Investigación Científica;5;Cuatrimestral;2;Ingeniería Mecánica;si
1;Introducción a la Ingeniería Química (Int. I);1;Cuatrimestral;6;Ingeniería Química;no
2;Ingeniería y Sociedad;1;Cuatrimestral;4;Ciencias Básicas;no
3;Álgebra y Geometría Analítica;1;Cuatrimestral;10;Ciencias Básicas;no
4;Análisis Matemático I;1;Cuatrimestral;10;Ciencias Básicas;no
5;Química;1;Cuatrimestral;10;Ciencias Básicas;no
6;Sistemas de Representación;1;Cuatrimestral;4;Ciencias Básicas;no
7;Análisis Matemático II;1;Cuatrimestral;10;Ciencias Básicas;no
8;Inglés I;1;Cuatrimestral;4;Ciencias Básicas;no
9;Física I;2;Cuatrimestral;10;Ciencias Básicas;no
10;Fundamentos de Informática;2;Cuatrimestral;4;Ingeniería Química;no
11;Probabilidad y Estadística;2;Cuatrimestral;6;Ciencias Básicas;no
12;Química Inorgánica;2;Cuatrimestral;8;Ciencias Básicas;no
13;Inglés II;2;Cuatrimestral;4;Ciencias Básicas;no
14;Introducción a Equipos y Procesos (Int. II);2;Cuatrimestral;6;Ingeniería Química;no
15;Física II;2;Cuatrimestral;10;Ciencias Básicas;no
16;Química Orgánica;2;Cuatrimestral;10;Ciencias Básicas;no
17;Matemática Superior Aplicada;2;Cuatrimestral;6;Ciencias Básicas;no
18;Termodinámica;3;Cuatrimestral;6;Ingeniería Química;no
19;Ciencia de los Materiales;3;Cuatrimestral;4;Ingeniería Química;no
20;Química Analítica;3;Cuatrimestral;6;Ingeniería Química;no
21;Microbiología y Química Biológica;3;Cuatrimestral;6;Ingeniería Química;no
22;Economía;3;Cuatrimestral;6;Ciencias Básicas;no
23;Balances de Masa y Energía (Int. III);3;Cuatrimestral;6;Ingeniería Química;no
24;Legislación;3;Cuatrimestral;4;Ciencias Básicas;no
25;Fisicoquímica;3;Cuatrimestral;6;Ingeniería Química;no
26;Fenómenos de Transporte;4;Cuatrimestral;10;Ingeniería Química;no
27;Química Aplicada;4;Cuatrimestral;6;Ingeniería Química;no
28;Operaciones Unitarias I;4;Cuatrimestral;10;Ingeniería Química;no
29;Tecnología de la Energía Térmica;4;Cuatrimestral;10;Ingeniería Química;no
30;Ingeniería de las Reacciones Químicas;4;Cuatrimestral;10;Ingeniería Química;no
31;Diseño, Simulación, Optimización y Seguridad de Procesos (Int. IV);4;Cuatrimestral;8;Ingeniería Química;no
32;Operaciones Unitarias II;4;Cuatrimestral;10;Ingeniería Química;no
33;Higiene y Seguridad de Procesos;4;Cuatrimestral;4;Ingeniería Química;no
